"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fmnl2",4.07299051848134e-05,-0.838664955421953,0.25,0.344,1
"Sptbn1",4.6455707569047e-05,-0.216343505705731,0.369,0.492,1
"Zfpm2",4.77716315251861e-05,-0.48204214181911,0.201,0.302,1
"Dlc1",5.20797083607622e-05,-0.246076329705313,0.382,0.498,1
"Prkca",5.48194880832359e-05,0.259823103052667,0.236,0.338,1
"Tom1l2",5.89949748611181e-05,-0.604289443796175,0.209,0.307,1
"Ptprd",7.65557162906999e-05,-0.315969023719326,0.199,0.298,1
"Pde3a",7.77868328672524e-05,-0.584251081675741,0.25,0.348,1
"Sik3",8.11635002821455e-05,-0.408361614781381,0.173,0.268,1
"Antxr1",8.19365115542781e-05,0.830537009531639,0.348,0.266,1
"Col4a1",8.24543263378977e-05,-0.28958801759876,0.214,0.314,1
"Timp3",8.4160240616673e-05,1.5353056528456,0.279,0.202,1
"Akap13",9.77233645892503e-05,-0.28662711244851,0.322,0.428,1
"Kcnt2",0.00011680706304812,-0.680688849932393,0.197,0.289,1
"Lama4",0.000133975405814409,-0.260131416728274,0.272,0.373,1
"Dapk1",0.00017255553596419,-0.384933250906972,0.188,0.278,1
"Nfia",0.000177187970993466,-0.299417269148793,0.561,0.661,1
"Gm37194",0.000213855579452257,1.23150105406136,0.251,0.178,1
"Sntb2",0.000230111945792079,-0.201281090702878,0.171,0.262,1
"Mir99ahg",0.000275673280201957,-0.24645177860981,0.559,0.637,1
"Serpinh1",0.000293953949272267,1.17864438167147,0.289,0.214,1
"Srrm2",0.000323189748906781,-0.565408197857585,0.214,0.306,1
"Rbms3",0.000400682106050248,-0.329278112281742,0.426,0.528,1
"Ehbp1",0.000423472338834467,-0.335638214717079,0.22,0.308,1
"Atp8b1",0.000436241545336423,0.580744078654865,0.38,0.3,1
"Clmp",0.000439688012566218,-0.855558801390025,0.218,0.302,1
"Neat1",0.000517386050542266,-0.371574568179764,0.531,0.609,1
"Lhfp",0.000532106233111404,-0.351456518318009,0.179,0.259,1
"Epb41l2",0.000597361674959307,-0.599007943748448,0.194,0.273,1
"Ror1",0.000608365707027373,-0.416123619950652,0.289,0.379,1
"Plpp3",0.000611492772634694,-0.381605940122713,0.402,0.483,1
"Col1a2",0.000612174733926968,0.541543147373188,0.737,0.715,1
"Tmtc2",0.000616828263242462,-0.47192089065467,0.417,0.509,1
"Col6a3",0.00069532096571421,-0.300457234792806,0.534,0.606,1
"Zfhx3",0.000697165177424283,-0.542549442241645,0.27,0.353,1
"Fbn1",0.000816534198999722,-0.260693999845911,0.302,0.395,1
"Sh3d19",0.000837322463718175,-0.33919338998117,0.214,0.296,1
"Prkn",0.000872096306599777,-0.442586959806667,0.192,0.269,1
"Vav3",0.000938142355712585,-0.343511244572941,0.25,0.34,1
"Dlgap1",0.0011390315885865,0.529777753360648,0.263,0.199,1
"Rsrp1",0.00120725928617342,-0.561256979536352,0.289,0.371,1
"Dlg2",0.00129604006029388,-0.243279558590305,0.343,0.433,1
"Col6a1",0.00155593590197722,1.23756952331465,0.415,0.365,1
"Lum",0.00157528032135792,0.88693665691423,0.428,0.363,1
"Col15a1",0.00162112303906777,-0.574960556447339,0.238,0.314,1
"Hmcn2",0.00213272001365355,-0.627787765605182,0.242,0.317,1
"Zeb1",0.00232897682418533,-0.206416243603312,0.406,0.498,1
"Pde1a",0.00259226523932305,-0.209372923919129,0.209,0.285,1
"Lncpint",0.00262280239563033,-0.121481571868499,0.296,0.376,1
"Fbxl17",0.00278632460913376,-0.352549571190352,0.197,0.27,1
"Nfib",0.00279330309189774,-0.110243962022347,0.376,0.463,1
"Luc7l2",0.00296950578690967,-0.662159403402972,0.214,0.282,1
"PTPRG",0.00298931331658562,-0.364545020666427,0.223,0.291,1
"Ankrd11",0.003259531352835,-0.501002294837328,0.186,0.251,1
"Ash1l",0.00330704151510208,-0.216358097607245,0.182,0.251,1
"Macf1",0.00348473726410754,-0.302837335681248,0.287,0.357,1
